,Genes,6709.han,81F3.han,5411.han,5408.han,5217.han,5B89.han,4EFB.han,5728.han,5B57.han,6210.han
19,4EFB.02.117,1.21333274098955e-05,1.855750894991637e-05,1.18535578563429e-05,6.605833622002324e-07,0.0002838846494085755,1.875425766721179e-05,0.01070084330207336,0.0007724483664934309,2.774357937678337e-05,0.0003639320169474476
20,4EFB.02.118,0.0001010085095008021,2.366165815134575e-05,5.916890402116089e-06,1.325480383259542e-06,3.47099093654308e-06,3.726143081548003e-06,1.288510212464929e-06,3.667889687258479e-05,2.549412709673064e-07,0.0001633133744118372
21,4EFB.02.119,5.556053549880355e-06,1.958708821458914e-19,8.317368724148404e-07,1.112013606054141e-11,6.844929393130424e-08,1.828399197641078e-06,0.0001366211941029052,2.575470711148801e-06,1.382411876383336e-06,2.890807513896861e-08
22,4EFB.02.12,4.478674769018418e-05,2.428549909516162e-08,2.54412806156347e-16,4.119732942482889e-09,1.346977775847309e-11,8.821511451379279e-13,0.02055240814615147,7.59049218348342e-05,0.0001346928309333493,7.78680826157361e-06
23,4EFB.02.120,2.234938245280913e-05,3.936875809149854e-05,2.896708732309913e-08,5.998084843619999e-08,0.0001268074503052071,1.899068297403514e-06,0.01341490523539493,7.677185158658377e-08,6.332527687463462e-09,8.248983991753079e-06
24,4EFB.02.121,3.41131284480174e-05,2.408999785244785e-05,2.65421500955009e-06,3.766698906187687e-07,2.960220719591859e-09,3.565456102304247e-07,0.01549051947865502,1.106730411029287e-05,8.374862921184914e-05,5.81037371529148e-09
25,4EFB.02.122,3.021860261277271e-14,4.775784958846747e-06,9.353994202592499e-09,7.642471753436715e-11,6.191237384825058e-09,1.866623699156633e-07,0.00143679782452749,4.457714017460247e-19,6.709012546409415e-06,1.70897280936559e-06
26,4EFB.02.123,5.524696167315835e-06,3.465875335027657e-07,3.938785790035951e-10,1.559738781533555e-07,6.717839501082826e-08,4.800047680164994e-09,0.01163002540614719,7.376971099455154e-05,4.204932766353772e-06,6.858094793590624e-05
27,4EFB.02.124,2.304830494212627e-05,1.243508562588213e-05,7.66349565804562e-08,2.174236205423091e-12,1.142762567320349e-07,1.585858191428128e-06,0.01009086612594048,0.0001619971496412808,8.214596952237242e-10,0.0003394260836122261
28,4EFB.02.125,0.0001136861321570443,8.955306202071311e-10,1.341914378627486e-08,1.337243842550237e-06,3.170090218404483e-07,1.453335019477528e-21,5.088480666899558e-06,0.0003328177612427212,6.632787817809933e-06,0.0001505898178459165
