,Genes,89D2.han,4F4D.han,5F62.han,4F55.han,5E8F.han
22,4F4D.01.29.gene,0.002140479244839566,0.05263158891781858,4.056254795131259e-05,0.003193667696450671,0.001071610146518386
23,4F4D.01.3.gene,0.0004119363069230056,0.05489274337324428,0.0003049020416646569,0.003485084438271196,0.0003054624671823264
24,4F4D.01.30.gene,0.005234401936115194,0.05194994108520563,5.606504428885284e-05,0.001909230667005045,0.000818374497705259
25,4F4D.01.31.gene,0.001009842708733935,0.05352772664582123,4.040799912644505e-05,0.001231040088776753,0.0003923540814264994
26,4F4D.01.32.gene,0.002092683892409433,0.0529846210811793,0.0003639189020315533,0.001020371512078828,0.001599011405677713
27,4F4D.01.33.gene,0.0008712148442784114,0.05019259452765763,5.841447514732293e-06,0.0005118955201718633,2.779837978915232e-05
28,4F4D.01.34.gene,0.0004815375034730678,0.07618148573421918,2.93057664381905e-05,0.002911023531348417,0.000510565961724518
29,4F4D.01.35.gene,0.001244215257193212,0.05535290508864752,5.414220159942599e-05,0.0005453588639088968,0.0002662879758378124
30,4F4D.01.36.gene,0.0001952945078054511,0.0570488048274817,1.280587075321691e-05,0.0004351502384818091,0.0004626556153801591
31,4F4D.01.37.gene,0.002280035125313377,0.05496201378492742,1.39722404616764e-05,0.0004837826175748767,0.000989359100586919
32,4F4D.01.38.gene,0.0006192750867672368,0.05174818203359949,0.0001249017356591322,0.0006385976911028842,0.0007398756246387295
33,4F4D.01.39.gene,0.001258651823939568,0.0641795630027895,5.712039820221443e-05,0.001975369064709972,0.0008421576313157274
34,4F4D.01.4.gene,0.002266949370667757,0.05133395651467338,0.000124409558509148,0.001204131611561397,0.001303689233419863
35,4F4D.01.40.gene,0.0004141052030636477,0.05114312915221787,5.702534617010811e-05,0.000580065465110801,0.000607880741126659
36,4F4D.01.41.gene,0.0004462532274103309,0.05127809934687564,1.507026271333489e-05,0.001405667626112079,0.0006933253628806696
37,4F4D.01.42.gene,0.004560651745757252,0.05409978940783129,0.0001191070507600762,0.0009154673407917288,0.0005532706492175186
38,4F4D.01.43.gene,0.0005411863703678223,0.05944554179278937,0.0001010015466327965,0.001376065035270251,0.001250920179429364
39,4F4D.01.44.gene,0.001378287713751826,0.06688023757580755,6.33781554271417e-05,0.0008431824230838765,0.0008700778120781384
40,4F4D.01.45.gene,0.002829541639546813,0.0540847111456341,7.235262625421973e-05,0.002884809788396941,0.0008497366151609283
41,4F4D.01.46.gene,0.002266969037998931,0.06174820921826795,2.20498300479216e-05,0.0005253460664624872,0.0005277447974260564
42,4F4D.01.47.gene,0.0005909362838270512,0.0516582864102136,9.491133714007128e-06,0.0006728999844083644,0.0003965393589889558
43,4F4D.01.48.gene,0.0007288278401341765,0.05580142552457376,5.789276445742161e-05,0.0004798227732190579,0.0001162801650127751
44,4F4D.01.49.gene,0.001304194086614639,0.05425665499393997,1.524240880369352e-05,0.00145634634196615,0.001349852718922034
45,4F4D.01.5.gene,0.001535639875581716,0.06043697999446293,3.290422505292796e-05,0.0007216330437742197,0.0003518972302266893
46,4F4D.01.50.gene,0.004665959772553354,0.05351097470721689,2.178086948666386e-05,0.001435921521684123,0.0002913854901408047
47,4F4D.01.51.gene,0.0008142888416725332,0.05289836410400307,1.465238813024665e-05,0.0006514677659871209,0.001064717263385449
48,4F4D.01.52.gene,0.002225087632676012,0.06408628626235573,0.0001600517817909865,0.00161569981350743,0.0003642003930929558
49,4F4D.01.53.gene,0.0007786023084544683,0.05305436401432226,1.509186214515579e-05,0.0005531888804946533,0.0002415355570929146
50,4F4D.01.54.gene,0.002183292848999679,0.05092612270575805,1.758646686643927e-05,0.001179157211218963,0.001116986083723198
51,4F4D.01.55.gene,0.0006707861989873778,0.05728259399562137,0.000123792134177394,0.001539086137086499,0.001348333137798387
52,4F4D.01.56.gene,0.002611328382513831,0.05202102563088831,0.0001650543810247909,0.00473788740648194,0.0008421572022401692
53,4F4D.01.57.gene,0.001338518173510688,0.05778100514626583,0.0001354314930436948,0.000979065083667009,0.000451723770006293
54,4F4D.01.58.gene,0.002895613513218852,0.05131948769347684,3.894851958716018e-05,0.000840623075065188,0.003880096757415849
55,4F4D.01.59.gene,0.001871102383197816,0.05250654419093174,1.18919181274427e-05,0.0009186014370663546,0.0006441491103912259
56,4F4D.01.6.gene,0.000658802707830951,0.06123878918948004,3.857975608246793e-05,0.0008081497105191329,0.0002376477912947152
57,4F4D.01.60.gene,0.001726687995126308,0.05100949961573432,2.725457350005047e-06,0.002657664615360225,0.0009009751873660884
58,4F4D.01.61.gene,0.001252984836985315,0.05269323622913196,3.086353878971492e-05,0.0009287723411736748,0.0004371106184538008
59,4F4D.01.62.gene,0.0003860710005178031,0.05763077784828546,5.722793108828165e-05,0.0003984487853977959,0.0004412711762110198
60,4F4D.01.63.gene,0.00363335278935006,0.05199624334927445,8.537486201217868e-05,0.0009470869813357208,0.0003675193052073677
61,4F4D.01.64.gene,0.002103660372988956,0.05315126631926163,0.0001622502646953348,0.001296017319982601,0.0006591435153498405
62,4F4D.01.65.gene,0.009849440820804958,0.05236588082250412,0.000161399186294782,0.003289721800231001,0.001332463248871545
