,Genes,6709.han,81F3.han,5411.han,5408.han,5217.han,5B89.han,4EFB.han,5728.han,5B57.han,6210.han
26,4EFB.02.123.gene,0.0006687640153974403,6.405147348583816e-05,1.012156110331948e-05,1.368893877359899e-05,2.098944830170472e-05,4.993113581143279e-06,0.01163002540614719,0.0003591775763901217,7.2912187475241e-05,0.0003349396783466807
27,4EFB.02.124.gene,0.0002946248037253381,0.00016092132189633,4.105899755817651e-05,0.0002139237516684069,0.000149993792923169,2.149267312569072e-05,0.01009086612594048,0.0005311361307811849,6.110053488642626e-05,0.0004848538042417745
28,4EFB.02.125.gene,0.0003435753249134099,8.965139956355618e-05,0.0002429182077581437,9.809595740805212e-06,0.0002325052467562773,1.535994387419844e-05,0.01311901037346285,0.001384379547256384,7.432258391320873e-05,0.0008947772222970073
29,4EFB.02.126.gene,5.955982488808797e-05,0.0001411429448755325,6.863399547684618e-07,0.0002035519644454003,4.40510025637442e-06,4.358417051335221e-06,0.01128949675214257,2.89384765995347e-05,2.200602617493548e-05,2.735883095416727e-05
30,4EFB.02.127.gene,0.001109540579967962,0.0001128416928697919,5.159868910581394e-05,0.0001871161826777274,0.0001438987684402572,8.568047134738259e-05,0.01071084406093857,0.0009710713283383307,0.0001489478943596684,0.001160976557408086
31,4EFB.02.128.gene,0.0002192810280828975,0.0002506376751591461,0.0001222612949674703,7.038870884437143e-05,0.0002330833724872942,1.718207074377804e-05,0.01404585849041864,0.0005630507429197883,0.0002200486301719106,0.001360891461409952
32,4EFB.02.129.gene,0.0005604561720157476,8.07791023419768e-05,5.767224160399134e-05,6.453780370880537e-05,1.649813473531027e-05,3.025725157958268e-06,0.01388249041582791,0.0001672740298995553,0.0001112083483834008,0.0001856681875714791
33,4EFB.02.13.gene,0.0004613690311312676,0.0001482077027839661,8.814814266726359e-05,2.460807221379533e-05,0.0002013299576571932,3.101100223865182e-05,0.01001456041602802,0.002008192647945867,0.0005116551811885958,0.0004310682556923023
34,4EFB.02.130.gene,0.0002991778407591702,0.0004302155159562922,0.0004386222184397044,6.618730742390717e-05,0.0001660824813588523,4.977915319659178e-05,0.01061061878971236,0.0005106068941028358,0.0006877793140978657,0.004773994212499058
35,4EFB.02.131.gene,0.0003258167354577392,0.0002079007009048305,0.0002416394145831327,5.620076439751764e-05,0.0001231101229951147,1.164365499523798e-05,0.01531763724233231,0.001582541970333386,0.000651633387592853,0.0002536881246430373
36,4EFB.02.132.gene,0.0004925136983618781,0.0002081670778762572,0.0001171522219174005,2.392828657676978e-05,4.478402729785757e-05,1.505636770830381e-05,0.01108414766022958,0.0002190612105839687,6.253926500387036e-05,0.0004501037141571718
37,4EFB.02.133.gene,0.000275881915023164,1.493916537728544e-05,4.192593892952182e-05,2.514017895000339e-05,4.8563296207774e-05,4.12200227971446e-06,0.01299953871717229,0.0003129622417921435,1.953056654134427e-05,5.05389516233032e-05
38,4EFB.02.134.gene,0.0003234678364627396,4.924137797157312e-05,1.225052866216533e-05,1.046215019376012e-05,0.0001340656848764024,4.438860397361519e-06,0.01059364080399868,0.0003080252580470525,3.955574969288978e-05,0.0002789751150261739
39,4EFB.02.135.gene,0.001011400515864839,0.0006061959671245881,4.83319277490443e-05,0.0003273734352696714,0.0002371110294208981,0.0001693495884458522,0.01094555695381457,0.000351208662460142,0.001099922513932849,3.874050030015496e-05
40,4EFB.02.136.gene,4.257568528943705e-05,1.335955053129087e-05,3.565401601006053e-05,1.892394635142621e-05,3.161200250095035e-06,1.48324134913091e-06,0.01780370642593518,0.0007274675565534126,0.0003143732785600364,6.744533684737146e-05
41,4EFB.02.137.gene,0.0001285559610963383,0.0007038447036170424,0.0001759750622413055,2.215184304774325e-05,7.935580739071802e-05,1.887937580794344e-05,0.01972589675146634,0.0002965100244133363,9.180338130962663e-05,0.0003297827223675034
42,4EFB.02.138.gene,9.494402619974813e-05,0.0001429122373854289,3.414887685239064e-05,0.0004348123726613336,3.273530039975271e-05,5.607723283264166e-06,0.01609996400300178,0.0001533690268364271,0.0001394315688286484,2.92971668833991e-05
43,4EFB.02.139.gene,0.0007891590057244588,0.0002709312713988463,0.0005268384835328318,3.864143760494415e-05,9.874618008710012e-06,9.322432503055391e-06,0.01971696113774057,0.002864164861645256,0.0003850210786672942,5.170362984716928e-05
44,4EFB.02.14.gene,0.000274140496656343,0.0004916746262788663,0.0001323830381107534,4.369130280571072e-05,0.0001395102293761658,1.39810839135025e-05,0.01213344787157167,0.0002355999003237232,0.000161304519047146,0.0001224753964591787
45,4EFB.02.140.gene,9.891891748800177e-05,5.908729915174744e-05,2.907970918929447e-05,5.352400943867886e-06,1.125519236707067e-05,2.550325187177632e-06,0.01620698480069884,0.0007715705021335808,0.0001510777730312254,3.257264878202727e-05
46,4EFB.02.141.gene,1.30100592232034e-05,2.113759032487352e-05,1.673262508634389e-06,1.714091711015419e-05,1.088702430354384e-05,2.818537935547619e-06,0.01203801524489972,0.0001048570046587321,4.970769906481441e-05,2.387719051409346e-05
47,4EFB.02.142.gene,2.726873547180563e-05,1.825726526623247e-05,8.431318426288583e-06,1.310494413762994e-05,1.119985109707247e-05,4.813239037614343e-07,0.01396881795014835,0.0007454661438087669,1.806739457810659e-05,1.814787256405328e-05
48,4EFB.02.143.gene,0.001632967064698391,0.0002140699072021476,0.0002042248047225315,0.0003779663780237022,0.0001370527354949923,8.985789006913208e-06,0.01924452554542893,0.002177701804917216,3.054307542288592e-05,0.0001400748512746696
49,4EFB.02.144.gene,0.0002464381489239528,9.223773131112546e-05,2.06653111942046e-05,6.175341405085282e-05,3.845430334417607e-05,1.399636891132132e-06,0.01277440360745175,0.0003994158869881931,1.181540674264383e-05,0.0001531568633257614
50,4EFB.02.145.gene,2.876476163213851e-05,9.346135223831233e-05,1.12782007037272e-05,2.846918930623571e-05,6.965150237910104e-06,1.07407465974452e-05,0.01197962475974939,0.0009261372399157147,0.0001180255560923315,5.590653878624248e-05
51,4EFB.02.146.gene,0.0001079475027312619,0.0002014948866566786,6.015255809354944e-05,0.0002576453290825113,0.0002210513189867404,1.130546891948668e-05,0.01497237597380221,6.109535819446585e-05,3.704407674468915e-05,0.0003513074422157428
52,4EFB.02.147.gene,0.0002567382474844653,0.0001088159611094344,0.0002909174061545269,0.0002785461847042734,0.0002457421046918587,4.632458499250354e-06,0.0150756590918171,0.0003891622107894312,5.418218110938041e-05,7.621244254317956e-05
53,4EFB.02.148.gene,0.0001402699065657882,8.495528629165892e-05,8.279155911768068e-05,2.935110682720725e-05,6.94344947445065e-05,2.97644266585361e-06,0.01052094442939422,5.084722490254542e-05,0.0003125325944585128,0.0001524061985947537
54,4EFB.02.149.gene,0.0003031782195628248,0.0001184645950981775,0.0001305865589393022,0.0001568115374880121,0.0003380402760469133,5.946494761189828e-06,0.01758825975361179,0.0007814493119129272,2.823942599972724e-05,0.0007153671429513576
55,4EFB.02.15.gene,0.03142807211276653,0.001932003961413236,0.0006633404477527269,0.002235370080698561,0.000669030925034183,0.000428281342098042,0.01290320881525579,0.004646631998763865,0.0004383037251629892,0.0003597302121807633
56,4EFB.02.150.gene,0.0003558063932140953,6.319764606675078e-05,0.0004302178431957177,0.0002209026718818939,0.0001155672698866248,9.506553850890362e-05,0.01013612969723559,0.0001727255882947264,0.0002299893741742973,0.0003462145187211488
57,4EFB.02.151.gene,0.0002185766790691917,8.090653012304103e-05,0.0002154197961383205,4.97654344075637e-05,2.713534369533963e-05,6.666748045514643e-06,0.01127996927735882,0.0001294058546449541,1.555607459701679e-05,7.063615057636617e-05
58,4EFB.02.152.gene,0.001714629040776878,0.002557040870863455,0.000703153117160719,0.0009797203254827782,0.0005852726397738578,9.673209161315032e-05,0.01318094341095683,0.001640735374114268,0.0004921417262186161,0.0002695543919082824
59,4EFB.02.153.gene,0.0005451323232213275,0.0001163282979947419,0.0001416918075686309,4.496074656445505e-05,3.079815205415446e-05,4.811419133275849e-06,0.01358035996596015,0.0002802908393526846,5.702561644356207e-06,8.77189557747718e-05
60,4EFB.02.154.gene,0.001006015172969427,0.000340892912028945,7.287702513233575e-05,0.0001922195590975541,8.21410123805984e-05,1.234168889790767e-05,0.01019775862908674,0.0003913033213135863,0.0001601957821412869,0.0001316522244230247
61,4EFB.02.155.gene,0.0004294702891530728,0.0001890293388209922,0.0007086676845272671,0.0001517780620730341,0.0002792478056559995,1.295448289797872e-05,0.01038444347053391,0.0001836424887816449,0.0001456156530649843,0.0005797207616375317
62,4EFB.02.156.gene,0.000739084347871414,0.0007273476733986725,2.307359307236746e-05,0.000167224051952085,3.736856839322917e-05,5.202026800294099e-06,0.01109870571342551,0.001459660861205449,5.4104482847324e-05,0.0001013896466668786
63,4EFB.02.157.gene,0.0002539426774424394,2.301196339506312e-05,0.000197097743987354,3.061703194304295e-05,3.236169896328695e-05,5.217269068044228e-06,0.01002856630191314,0.0003702833839487588,6.576770868420404e-05,6.203886121064715e-05
64,4EFB.02.158.gene,0.0001746594874853406,0.0008059873961850111,2.276630526287982e-05,3.629025153962673e-05,8.901329381287454e-05,5.433875686898683e-06,0.01018625551102412,5.315850511886868e-05,4.684363441058786e-05,8.379344734393204e-05
65,4EFB.02.159.gene,0.0002787509256746384,0.0001524964867605948,9.254234587055153e-05,7.890655976091287e-05,0.0003637560222014694,1.124306216076469e-05,0.01173094621403899,0.0005483120853184469,4.791212070285233e-05,0.00144228853918796
66,4EFB.02.16.gene,0.0002716789776281934,0.0002916068876521025,0.0001617828457192836,0.0003452450411145589,3.743277477696154e-05,3.51688800447999e-06,0.01979294957033318,0.0001224149284759127,1.68165059154153e-05,0.0002662462531353924
67,4EFB.02.160.gene,0.0002172609576548181,9.537571815368839e-06,0.0002441880036047064,2.427016217795265e-05,2.15388106140096e-05,1.119194239943529e-05,0.01052118304378532,0.0003561286657816695,1.687791859129614e-05,6.242628731059512e-05
68,4EFB.02.161.gene,0.0005118984443010494,0.00092870189727619,9.601149216785767e-05,0.0008454710207013887,0.0004484498172747379,0.0001350649206290219,0.01415097273915537,0.003000357103793738,0.000544291137890098,0.0002170370307454916
69,4EFB.02.162.gene,0.001055940529447606,0.0001282347922753318,0.0002104923449964627,0.0006698372106055137,0.0002424473797378607,3.701769096074755e-06,0.01391042454640619,0.0005665898732081614,4.701962842643186e-05,0.0009496470723971672
