,Genes,6709,81F3,5411,5408,5217,5B89,4EFB,5728,5B57,6210
11,5408.2.5,0.002925939516280721,6.654064522412604e-06,0.000146450536943036,0.2473551122118273,5.220818903851307e-05,3.277070114409905e-08,3.627526141392243e-14,3.108539054163764e-08,7.736784455044087e-08,5.273483454554271e-11
12,5408.2.6,0.0025205475793884,9.993647616674032e-06,0.0002190582930120581,0.2123263426255192,0.0002931952856776812,9.972786948279763e-06,4.271540063763134e-05,0.0001366448290336345,2.865428618613067e-08,9.919490963439173e-10
13,5408.2.7,0.008485117535570273,2.864144850076966e-06,0.0002642985473812783,0.2440873369186874,8.511414197148716e-05,8.422435778178865e-06,3.45312315154472e-05,5.465195437234245e-05,1.955901171525729e-08,9.33254978457189e-11
14,5408.2.9,0.002314750708156549,0.00116732508388312,0.0003705757463317865,0.2063963852438964,5.424318094984182e-06,3.057588769886185e-08,2.490946154924789e-05,0.0002004882091738738,1.201966408809901e-08,9.166731602313403e-05
15,5411.2.19,0.0003171709992335906,0.0001376692258006655,0.2285244193145601,3.215873503226259e-06,0.0006747251693542351,1.262062477178689e-06,4.315984439027991e-09,1.316864625735644e-06,2.88122488696214e-13,1.013151335858837e-05
16,5411.2.2,0.0003059943329821592,5.703811556965885e-06,0.2138428805756974,3.237565211263212e-06,1.746835876395358e-05,1.935021072325177e-10,2.399903381241025e-10,2.479232270243141e-08,3.426800526274252e-05,3.816612090227923e-06
17,5411.2.20,9.385259049729822e-06,0.0002252335472036488,0.2107800684827843,5.710292070921213e-06,1.396450494749776e-06,3.839458752227257e-11,1.186319660512352e-12,9.031200115422208e-11,1.379510989785063e-08,9.87317286918786e-08
18,5411.2.3,1.377358206901433e-05,4.948718291369996e-08,0.2009415175719213,0.0001411920064141466,1.83436550278714e-05,2.150562741728498e-05,6.375350795378138e-07,1.453518861773434e-09,4.155635486886144e-05,6.660896235259561e-06
19,5411.2.4,5.022333048339799e-05,5.219241017928968e-05,0.2015366756961858,1.555875285858252e-06,5.601001724970908e-05,2.035102675771639e-07,4.306717334904091e-06,2.223004370180974e-07,1.360481132143264e-05,3.678556092732965e-06
20,5411.2.5,4.197912632520329e-05,2.305910186165987e-05,0.2069281027120738,7.455296309052484e-05,0.0001082352168725018,2.206780018311881e-06,1.972677014649234e-08,1.562867241281533e-08,3.878539410307751e-06,1.797607490196792e-05
