,Genes,6709.han,81F3.han,5411.han,5408.han,5217.han,5B89.han,4EFB.han,5728.han,5B57.han,6210.han,6709,81F3,5411,5408,5217,5B89,4EFB,5728,5B57,6210
10,5408.2.4,0.0002857181765513476,0.0004673871244856604,0.0002728645868917446,0.2097442347603892,7.468425659617925e-05,2.739000240599507e-06,8.355826189635412e-05,7.428395590053361e-06,3.772561346044907e-06,3.905233937020169e-06,0.0002857181765513476,0.0004673871244856604,0.0002728645868917446,0.2097442347603892,7.468425659617925e-05,2.739000240599507e-06,8.355826189635412e-05,7.428395590053361e-06,3.772561346044907e-06,3.905233937020169e-06
11,5408.2.5,0.002925939516280721,6.716813101189249e-05,0.0001315770309497508,0.2473551122118273,1.341714440474373e-05,3.127804629215726e-06,1.624978430477671e-05,4.066134246331333e-05,3.837955607965854e-06,4.196200403858894e-06,0.002925939516280721,6.716813101189249e-05,0.0001315770309497508,0.2473551122118273,1.341714440474373e-05,3.127804629215726e-06,1.624978430477671e-05,4.066134246331333e-05,3.837955607965854e-06,4.196200403858894e-06
12,5408.2.6,0.0025205475793884,1.740646951196738e-06,0.0002418710444982415,0.2123263426255192,2.107336804742579e-07,1.153219919030439e-06,0.0003251609807968548,2.901272571143093e-05,1.799218735569798e-06,1.111964461421796e-05,0.0025205475793884,1.740646951196738e-06,0.0002418710444982415,0.2123263426255192,2.107336804742579e-07,1.153219919030439e-06,0.0003251609807968548,2.901272571143093e-05,1.799218735569798e-06,1.111964461421796e-05
13,5408.2.7,0.008485117535570273,0.0002294047091168987,7.973980158029199e-05,0.2440873369186874,0.0002009914287641075,4.140436128526615e-06,8.40303120916888e-05,0.0001074986464553872,5.02783823404042e-06,8.339136702238003e-07,0.008485117535570273,0.0002294047091168987,7.973980158029199e-05,0.2440873369186874,0.0002009914287641075,4.140436128526615e-06,8.40303120916888e-05,0.0001074986464553872,5.02783823404042e-06,8.339136702238003e-07
14,5408.2.9,0.002314750708156549,0.00116732508388312,0.0001731255660955745,0.2063963852438964,6.853424237610285e-05,3.218089057286982e-09,3.079888021675999e-05,0.0002949113369184776,1.470082157657115e-06,2.452649009759587e-05,0.002314750708156549,0.00116732508388312,0.0001731255660955745,0.2063963852438964,6.853424237610285e-05,3.218089057286982e-09,3.079888021675999e-05,0.0002949113369184776,1.470082157657115e-06,2.452649009759587e-05
15,5411.2.19,4.115055424792296e-05,1.613547087806244e-07,0.2285244193145601,2.856965253406221e-06,0.0002829671431707569,3.193279768527952e-05,2.164591150831024e-07,1.316864625735644e-06,0.001707733872260517,8.406811529124183e-06,4.115055424792296e-05,1.613547087806244e-07,0.2285244193145601,2.856965253406221e-06,0.0002829671431707569,3.193279768527952e-05,2.164591150831024e-07,1.316864625735644e-06,0.001707733872260517,8.406811529124183e-06
16,5411.2.2,8.950280400343062e-05,1.272833719735898e-06,0.2138428805756974,7.751736931969196e-05,2.12392413921081e-05,4.327009688893535e-09,2.990149095192356e-07,5.860600298216243e-10,0.0009273364800937835,3.344008830200231e-05,8.950280400343062e-05,1.272833719735898e-06,0.2138428805756974,7.751736931969196e-05,2.12392413921081e-05,4.327009688893535e-09,2.990149095192356e-07,5.860600298216243e-10,0.0009273364800937835,3.344008830200231e-05
17,5411.2.20,6.065052609128876e-07,8.270788227690275e-09,0.2107800684827843,5.710292070921213e-06,7.081158667595477e-07,5.622653715558179e-10,7.773346231579415e-07,9.031200115422208e-11,1.379510989785063e-08,3.503254785270619e-06,6.065052609128876e-07,8.270788227690275e-09,0.2107800684827843,5.710292070921213e-06,7.081158667595477e-07,5.622653715558179e-10,7.773346231579415e-07,9.031200115422208e-11,1.379510989785063e-08,3.503254785270619e-06
18,5411.2.3,3.139743927201872e-06,4.948718291369996e-08,0.2009415175719213,4.217697999494862e-06,9.679577382914698e-06,1.755186708794344e-05,8.357754996399164e-08,8.339719043637486e-08,4.155635486886144e-05,3.159000597223645e-05,3.139743927201872e-06,4.948718291369996e-08,0.2009415175719213,4.217697999494862e-06,9.679577382914698e-06,1.755186708794344e-05,8.357754996399164e-08,8.339719043637486e-08,4.155635486886144e-05,3.159000597223645e-05
19,5411.2.4,5.663494244768573e-06,4.453343426727695e-05,0.2015366756961858,0.000171295431486121,9.291776463543664e-05,3.129159543564869e-05,2.889323688809441e-08,2.223004370180974e-07,0.0007654450129654468,2.421951092787565e-06,5.663494244768573e-06,4.453343426727695e-05,0.2015366756961858,0.000171295431486121,9.291776463543664e-05,3.129159543564869e-05,2.889323688809441e-08,2.223004370180974e-07,0.0007654450129654468,2.421951092787565e-06
