,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Stroke Point List,"[[360. 350.]
 [ 40.  30.]
 [  0. 130.]]","[[190.      340.     ]
 [173.625   329.96875]
 [155.5     321.375  ]
 [135.625   314.21875]
 [114.      308.5    ]
 [ 90.625   304.21875]
 [ 65.5     301.375  ]
 [ 38.625   299.96875]
 [ 10.      300.     ]]","[[150. 410.]
 [  0. 260.]]","[[360. 360.]
 [360.   0.]
 [150.   0.]]","[[460. 180.]
 [  0. 180.]]","[[400. 250.]
 [150.   0.]
 [  0. 150.]]","[[360. 100.]
 [  0. 100.]
 [  0. 310.]]","[[360. 270.]
 [  0. 270.]]","[[  0. 360.]
 [  0. 150.]]","[[ 30.     340.    ]
 [380.     340.    ]
 [361.6875 302.1875]
 [338.25   266.25  ]
 [309.6875 232.1875]
 [276.     200.    ]
 [237.1875 169.6875]
 [193.25   141.25  ]
 [144.1875 114.6875]
 [ 90.      90.    ]]","[[  0.        0.     ]
 [ 80.      110.     ]
 [ 86.28125  88.46875]
 [ 96.125    69.875  ]
 [109.53125  54.21875]
 [126.5      41.5    ]
 [147.03125  31.71875]
 [171.125    24.875  ]
 [198.78125  20.96875]
 [230.       20.     ]
 [440.       20.     ]]","[[  0. 340.]
 [  0.   0.]]","[[  0. 340.]
 [370. 340.]
 [370.  10.]
 [280.  40.]]","[[190.    330.   ]
 [184.75  296.375]
 [176.    264.5  ]
 [163.75  234.375]
 [148.    206.   ]
 [128.75  179.375]
 [106.    154.5  ]
 [ 79.75  131.375]
 [ 50.    110.   ]]","[[180.     340.    ]
 [191.4375 331.3125]
 [201.75   322.25  ]
 [210.9375 312.8125]
 [219.     303.    ]
 [231.75   282.25  ]
 [240.     260.    ]]","[[  0. 230.]
 [110. 230.]
 [110.   0.]
 [ 60.  20.]]","[[ 10.   190.  ]
 [ 25.25 182.75]
 [ 37.   172.  ]
 [ 45.25 157.75]
 [ 50.   140.  ]]","[[170.    190.   ]
 [180.75  183.125]
 [191.    172.5  ]
 [200.75  158.125]
 [210.    140.   ]]","[[  0. 380.]
 [  0.   0.]]","[[  0. 380.]
 [370. 380.]
 [370.   0.]
 [280.  40.]]","[[  0. 390.]
 [  0.   0.]]","[[240.    390.   ]
 [240.    210.   ]
 [240.625 188.125]
 [247.5   172.5  ]
 [260.625 163.125]
 [280.    160.   ]
 [320.    160.   ]
 [320.    210.   ]]","[[  0. 440.]
 [  0.   0.]]","[[190.      290.     ]
 [198.65625 254.65625]
 [209.125   222.625  ]
 [221.40625 193.90625]
 [235.5     168.5    ]
 [251.40625 146.40625]
 [269.125   127.625  ]
 [288.65625 112.15625]
 [310.      100.     ]]","[[  0. 430.]
 [  0.   0.]]","[[  0. 440.]
 [  0.   0.]]","[[190.      470.     ]
 [175.21875 424.84375]
 [157.875   381.875  ]
 [137.96875 341.09375]
 [115.5     302.5    ]
 [ 90.46875 266.09375]
 [ 62.875   231.875  ]
 [ 32.71875 199.84375]
 [  0.      170.     ]]","[[200.      330.     ]
 [189.09375 308.     ]
 [177.375   285.5    ]
 [164.84375 262.5    ]
 [151.5     239.     ]
 [137.34375 215.     ]
 [122.375   190.5    ]
 [106.59375 165.5    ]
 [ 90.      140.     ]
 [147.28125 123.53125]
 [199.625   107.125  ]
 [247.03125  90.78125]
 [289.5      74.5    ]
 [327.03125  58.28125]
 [359.625    42.125  ]
 [387.28125  26.03125]
 [410.       10.     ]]","[[ 50. 420.]
 [200. 420.]
 [200.   0.]
 [120.  40.]]","[[110.      440.     ]
 [122.03125 432.71875]
 [133.125   425.375  ]
 [152.5     410.5    ]
 [168.125   395.375  ]
 [180.      380.     ]]","[[130.      340.     ]
 [390.      340.     ]
 [380.46875 327.4375 ]
 [369.375   315.25   ]
 [356.71875 303.4375 ]
 [342.5     292.     ]
 [326.71875 280.9375 ]
 [309.375   270.25   ]
 [290.46875 259.9375 ]
 [270.      250.     ]]","[[190.      280.     ]
 [211.0625  273.65625]
 [230.75    266.625  ]
 [249.0625  258.90625]
 [266.      250.5    ]
 [281.5625  241.40625]
 [295.75    231.625  ]
 [308.5625  221.15625]
 [320.      210.     ]]","[[ 10.      400.     ]
 [130.      400.     ]
 [ 50.      250.     ]
 [150.      250.     ]
 [144.59375 203.     ]
 [135.375   160.5    ]
 [122.34375 122.5    ]
 [105.5      89.     ]
 [ 84.84375  60.     ]
 [ 60.375    35.5    ]
 [ 32.09375  15.5    ]
 [  0.        0.     ]]","[[220.      390.     ]
 [211.375   367.5    ]
 [205.46875 356.25   ]
 [198.5     345.     ]
 [190.46875 333.75   ]
 [181.375   322.5    ]
 [171.21875 311.25   ]
 [160.      300.     ]
 [170.78125 288.3125 ]
 [180.625   276.75   ]
 [189.53125 265.3125 ]
 [197.5     254.     ]
 [204.53125 242.8125 ]
 [210.625   231.75   ]
 [220.      210.     ]]","[[310.      390.     ]
 [307.25    376.78125]
 [303.5     364.125  ]
 [298.75    352.03125]
 [293.      340.5    ]
 [286.25    329.53125]
 [278.5     319.125  ]
 [269.75    309.28125]
 [260.      300.     ]
 [270.1875  289.40625]
 [279.25    278.625  ]
 [287.1875  267.65625]
 [294.      256.5    ]
 [299.6875  245.15625]
 [304.25    233.625  ]
 [310.      210.     ]]","[[410.      390.     ]
 [403.125   369.25   ]
 [392.5     349.     ]
 [378.125   329.25   ]
 [369.53125 319.5625 ]
 [360.      310.     ]
 [371.      298.8125 ]
 [381.      287.25   ]
 [390.      275.3125 ]
 [398.      263.     ]
 [405.      250.3125 ]
 [411.      237.25   ]
 [416.      223.8125 ]
 [420.      210.     ]]","[[ 80. 470.]
 [ 80.   0.]
 [  0.  40.]]","[[  0. 410.]
 [  0.  60.]]","[[190.      150.     ]
 [190.6875  135.65625]
 [189.75    121.125  ]
 [187.1875  106.40625]
 [183.       91.5    ]
 [177.1875   76.40625]
 [169.75     61.125  ]
 [160.6875   45.65625]
 [150.       30.     ]]","[[ 70.      340.     ]
 [ 92.9375  314.78125]
 [110.75    284.625  ]
 [123.4375  249.53125]
 [131.      209.5    ]
 [133.4375  164.53125]
 [130.75    114.625  ]
 [122.9375   59.78125]
 [110.        0.     ]
 [ 50.       40.     ]]","[[200.      330.     ]
 [187.75    309.125  ]
 [172.      290.5    ]
 [162.8125  282.03125]
 [152.75    274.125  ]
 [141.8125  266.78125]
 [130.      260.     ]]","[[140.      220.     ]
 [157.875   205.     ]
 [166.71875 195.625  ]
 [175.5     185.     ]
 [184.21875 173.125  ]
 [192.875   160.     ]
 [201.46875 145.625  ]
 [210.      130.     ]]","[[  0.        0.     ]
 [ 80.       70.     ]
 [ 89.75     55.71875]
 [101.       43.375  ]
 [113.75     32.96875]
 [128.       24.5    ]
 [143.75     17.96875]
 [161.       13.375  ]
 [179.75     10.71875]
 [200.       10.     ]
 [450.       10.     ]]","[[  0.       0.    ]
 [ 70.      60.    ]
 [ 79.6875  47.625 ]
 [ 91.25    37.    ]
 [104.6875  28.125 ]
 [120.      21.    ]
 [137.1875  15.625 ]
 [156.25    12.    ]
 [177.1875  10.125 ]
 [200.      10.    ]
 [460.      10.    ]]","[[  0. 430.]
 [  0.   0.]]","[[  0. 330.]
 [  0.   0.]]"
Fractional Distances,[0.         0.80775907 1.        ],"[0.         0.10250454 0.20957733 0.32233485 0.4417342  0.56858225
 0.70355233 0.84720362 1.        ]",[0. 1.],[0.         0.63157895 1.        ],[0. 1.],[0.    0.625 1.   ],[0.         0.63157895 1.        ],[0. 1.],[0. 1.],"[0.         0.47113552 0.52768993 0.58544412 0.64528239 0.70800093
 0.77429227 0.84474362 0.91984468 1.        ]","[0.         0.25269626 0.29436573 0.33345269 0.3717465  0.41114474
 0.45339646 0.49993003 0.55182145 0.60984943 1.        ]",[0. 1.],[0.        0.4654859 0.880649  1.       ],"[0.         0.12593369 0.24824759 0.36858642 0.48867608 0.61025309
 0.73499186 0.86444416 1.        ]","[0.         0.14074676 0.27527981 0.40434845 0.52880071 0.7674573
 1.        ]",[0.         0.27929298 0.86326921 1.        ],[0.         0.24959675 0.48500263 0.72839449 1.        ],[0.         0.19558537 0.42186904 0.68810185 1.        ],[0. 1.],[0.         0.43606951 0.88392469 1.        ],[0. 1.],"[0.         0.52217911 0.58566427 0.63518607 0.68197726 0.73891045
 0.85495025 1.        ]",[0. 1.],"[0.         0.1562422  0.30093536 0.43504841 0.55979709 0.67668968
 0.78755556 0.89453373 1.        ]",[0. 1.],[0. 1.],"[0.         0.1318707  0.26047502 0.38642398 0.51036788 0.63298892
 0.7549915  0.87709072 1.        ]","[0.         0.04331797 0.08807175 0.13427803 0.18195197 0.23110738
 0.28175686 0.33391191 0.38758307 0.49272776 0.58949809 0.67795913
 0.75819614 0.83032358 0.89449926 0.95094779 1.        ]",[0.         0.22746479 0.8643662  1.        ],[0.         0.15126842 0.29437506 0.55711907 0.79103417 1.        ],"[0.         0.63146052 0.66975859 0.70978465 0.75183094 0.79614974
 0.84295659 0.89243454 0.9447386  1.        ]","[0.         0.147173   0.28704203 0.42000207 0.54651287 0.66710793
 0.78240291 0.89310194 1.        ]","[0.         0.17167957 0.41489229 0.5579586  0.62564314 0.6878603
 0.74533332 0.79897769 0.84991574 0.89945409 0.94901018 1.        ]","[0.         0.11037439 0.16857515 0.22919152 0.29250606 0.35876683
 0.42819031 0.50096477 0.57379832 0.64335449 0.70975427 0.77313673
 0.83366176 0.89151295 1.        ]","[0.         0.06433561 0.12723386 0.18914577 0.25054415 0.31191362
 0.37373953 0.4364966  0.50063892 0.57067153 0.63778232 0.70229759
 0.76458441 0.82505049 0.8841412  1.        ]","[0.         0.10224239 0.20920366 0.32345842 0.38402903 0.44717883
 0.52056327 0.592065   0.66199084 0.73066877 0.79844486 0.86567913
 0.93274031 1.        ]",[0.         0.84012176 1.        ],[0. 1.],"[0.         0.11097655 0.22350832 0.33896661 0.45862213 0.58361765
 0.71495663 0.85350476 1.        ]","[0.         0.07912093 0.16041023 0.24702091 0.34157509 0.44609881
 0.56209686 0.6906718  0.83263346 1.        ]","[0.         0.24039811 0.48266124 0.60676615 0.73386846 0.86471741
 1.        ]","[0.         0.20289105 0.31494982 0.43479916 0.56289052 0.69959372
 0.845213   1.        ]","[0.         0.21370109 0.24846392 0.28203889 0.31512411 0.34844847
 0.38272562 0.41861242 0.45668249 0.49741732 1.        ]","[0.         0.18518585 0.21675308 0.24829434 0.28064078 0.3145644
 0.35073638 0.38971192 0.43193575 0.47775814 1.        ]",[0. 1.],[0. 1.]
