,0,1,2,3,4,5,6,7,8,9,10
Stroke Point List,"[[360. 350.]
 [ 40.  30.]
 [  0. 130.]]","[[ 30. 290.]
 [290.  30.]]","[[ 60. 350.]
 [380.  30.]]","[[280. 410.]
 [280.  30.]]","[[230. 280.]
 [230.  30.]]","[[220. 130.]
 [220.  30.]]","[[300. 160.]
 [300.  30.]]","[[140.  30.]
 [460.  30.]]","[[280. 190.]
 [280.  30.]]","[[230. 420.]
 [230.  30.]]","[[170.  30.]
 [450.  30.]]"
Fractional Distances,[0.         0.80775907 1.        ],[0. 1.],[0. 1.],[0. 1.],[0. 1.],[0. 1.],[0. 1.],[0. 1.],[0. 1.],[0. 1.],[0. 1.]
